,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,R_ess_step,R_IAE,R_ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
1060,1060,tc104,150,14.285714285714285,0.3571428571428571,2040.816326530612,0.9345794392523364,0.075,0.003,0.0013580081378421,5.69736995414415,0.6578069101696158,0.07,0.007,0.025,1.259,0.07,116212174.212,758420877327.079,0.0001532291339626,1,1,hhl,232718876956.47705,1.0,0.0,0.0,,1.0,0.0,,,2.0
1061,1061,tc104,151,3.333333333333333,0.0,90.0900900900901,div0,0.003,0.003,0.0041254634322882,5.647738275605522,0.6606538588967196,0.3,0.037,0.0,1.245,0.072,102564019.397,763383227327.038,0.0001343545623292,1,1,lll,227756526956.51807,1.0,0.0,,1.0,,,1.0,1.0,4.0
1062,1062,tc104,152,3.333333333333333,0.1833333333333333,83.33333333333333,0.7692307692307692,0.1284523257866513,0.0088,1.997674175413522e-06,6.644689773130527,0.5618912274104367,0.3,0.04,0.055,1.034,0.165,37012552.154,633343332156.99,5.843994919461079e-05,1,3,lll,357796422126.56604,0.0,1.0,,1.0,,,1.0,1.0,4.0
1063,1063,tc104,153,10.0,0.25,606.060606060606,0.9090909090909091,0.0963392443399884,0.00495,0.0241178409116713,7.152138523524647,1.0551967289262092,0.1,0.0165,0.025,1.248,0.089,83234811.008,409299915947.164,0.0002033589741043,1,1,lll,581839838336.3921,1.0,0.0,,1.0,,,1.0,1.0,4.0
1064,1064,tc104,154,14.285714285714285,0.7857142857142857,432.90043290043286,0.9345794392523364,0.2415352680547619,0.0311142857142857,0.0950016146959171,10.72408084185529,1.9932204797404207,0.07,0.033,0.055,1.149,0.175,35459975.696,99030297511.148,0.0003580719899585,1,1,hlh,892109456772.4081,0.0,0.0,1.0,,,1.0,,,2.0
1065,1065,tc104,155,7.692307692307692,0.423076923076923,615.3846153846152,0.8849557522123894,0.1090827138530136,0.0063461538461538,5.98291322262412e-07,4.571393134563975,0.24768179724133,0.13,0.0125,0.055,1.017,0.118,53204767.457,602600524005.881,8.829193692583108e-05,1,1,lll,388539230277.67505,1.0,1.0,,1.0,,,1.0,1.0,5.0
1066,1066,tc104,156,7.692307692307692,0.4615384615384614,769.2307692307692,0.8849557522123894,0.1019049330730136,0.0055384615384615,7.0552459874306805e-06,4.793881397748102,0.2661886932584746,0.13,0.01,0.06,1.002,0.135,50810677.515,633222593524.605,8.024141594850668e-05,1,1,lll,357917160758.95105,0.0,1.0,,1.0,,,1.0,1.0,4.0
1067,1067,tc104,157,10.0,0.1,100.0,0.9090909090909091,0.15,0.012,0.4517059729988091,12.792412451134798,3.230446216826992,0.1,0.1,0.01,1.18,0.189,32769587.504,136985459110.974,0.0002392194596176,1,1,lll,854154295172.582,0.0,0.0,,0.0,,,1.0,1.0,2.0
1068,1068,tc104,158,4.3478260869565215,0.108695652173913,117.50881316098707,0.8130081300813008,0.0951257748640097,0.0048260869565217,0.0016247435053031,5.7032914317086725,0.5838420025512228,0.23,0.037,0.025,1.119,0.104,58929759.001,573199031127.405,0.0001028085460735,1,3,lll,417940723156.151,1.0,0.0,,1.0,,,1.0,1.0,4.0
1069,1069,tc104,159,6.666666666666667,0.0666666666666666,266.6666666666667,0.8695652173913044,0.0612372435695794,0.002,0.0493334612198168,8.048610086187992,1.452833680451559,0.15,0.025,0.01,1.34,0.077,107064228.353,643470453295.674,0.000166385616938,1,1,lll,347669300987.8821,1.0,0.0,,0.0,,,1.0,1.0,3.0
