tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;131;20.0;01.Jän;1290.3225806451612;0.9523809523809523;0.1958634728580089;0.02046;0.05;0.0155;0.055;1.042;0.138;187763661.403;221076415235.287;0.0008493156594889;1;1;hlh;770063339048.269;;;;;;
tc100;132;11.11111111111111;0.6666666666666666;167.0843776106934;0.9174311926605504;0.3158322339470751;0.0532;0.09;0.0665;0.06;1.048;0.207;123284788.454;177515435292.662;0.0006945017950171;1;3;elh;813624318990.894;;;;;;
tc100;133;6.666666666666667;0.5333333333333333;833.3333333333334;0.8695652173913044;0.0979795897113271;0.00512;0.15;0.008;0.08;1.0;0.205;164710340.878;1044444578273.677;0.0001577013699953;7;69;lll;-53304823990.12097;0.0;0.0;0.0;1.0;1.0;2.0
tc100;134;6.666666666666667;0.0333333333333333;193.23671497584544;0.8695652173913044;0.0508674748734395;0.00138;0.15;0.0345;0.005;1.255;0.069;468949766.792;1138770303649.234;0.0004118036493305;1;1;lll;-147630549365.67786;1.0;0.0;1.0;1.0;0.0;3.0
tc100;135;7.142857142857142;0.25;840.3361344537814;0.8771929824561403;0.0691465834296966;0.00255;0.14;0.0085;0.035;1.0;0.093;342229020.473;1761500649540.481;0.0001942826535785;1;1;lll;-770360895256.9249;1.0;0.0;1.0;1.0;1.0;4.0
tc100;136;6.666666666666667;0.4;91.32420091324202;0.8695652173913044;0.2563201123595259;0.0350399999999999;0.15;0.073;0.06;1.029;0.194;137167439.358;369760399496.543;0.0003709630332095;1;3;lll;621379354787.013;0.0;1.0;1.0;0.0;1.0;3.0
tc100;137;4.545454545454546;0.1590909090909091;267.379679144385;0.819672131147541;0.0780078667361649;0.0032454545454545;0.22;0.017;0.035;1.007;0.097;297330803.557;1475646107429.237;0.0002014919444845;1;1;lll;-484506353145.681;1.0;0.0;1.0;1.0;1.0;4.0
tc100;138;7.692307692307692;0.423076923076923;1025.6410256410256;0.8849557522123894;0.0844951068223662;0.0038076923076923;0.13;0.0075;0.055;1.0;0.144;238703596.815;1424050859384.369;0.00016762294355;1;23;lll;-432911105100.81287;0.0;0.0;0.0;1.0;1.0;2.0
tc100;139;4.3478260869565215;0.0434782608695652;82.81573498964804;0.8130081300813008;0.0716649814429431;0.0027391304347826;0.23;0.0525;0.01;1.099;0.078;360358044.468;1361494459728.384;0.0002646783039718;1;1;lll;-370354705444.828;1.0;0.0;1.0;1.0;0.0;3.0
tc100;13;7.142857142857142;0.3928571428571428;109.89010989010988;0.8771929824561403;0.2396984712985402;0.0306428571428571;0.14;0.065;0.055;1.035;0.179;146708979.36;357675993755.806;0.0004101728433587;1;3;lll;633463760527.75;0.0;1.0;1.0;0.0;1.0;3.0
tc100;140;6.666666666666667;0.1666666666666666;101.010101010101;0.8695652173913044;0.1573213272255227;0.0132;0.15;0.066;0.025;1.078;0.122;217385552.209;544492504778.1;0.000399244342762;1;1;lll;446647249505.45605;1.0;1.0;1.0;0.0;0.0;3.0
tc100;141;3.333333333333333;0.2;151.51515151515153;0.7692307692307692;0.0994987437106619;0.0052799999999999;0.3;0.022;0.06;1.0;0.162;187810365.989;1225857157112.589;0.0001532073821972;3;25;lll;-234717402829.03308;0.0;0.0;0.0;1.0;1.0;2.0
tc100;142;7.142857142857142;0.5714285714285714;510.204081632653;0.8771929824561403;0.1341640786499873;0.0096;0.14;0.014;0.08;1.0;0.202;153055932.673;609010130366.324;0.0002513191900123;5;49;llh;382129623917.23206;;;;;;
tc100;143;20.0;0.1;2666.666666666667;0.9523809523809523;0.0410791918128874;0.0009;0.05;0.0075;0.005;1.546;0.064;1118212159.836;2378627440832.294;0.0004701081559223;1;1;hhl;-1387487686548.7378;;;;;;
